100n,"C1,C2",603,C1864275
10u,"C16,C52",603,C18800
0.01uF,C21,402,C1524
0.1uF,"C50,C51",201,C49062
22pF,C53,201,C57783
560pF,C54,201,C161489
10uF,C55,603,C1691
4.7uF,C56,805,C1779
3.3uH,L50,603,C12589
5k,"R1,R2,R15,R16,R17,R18,R19",201,C1857713
316k,R50,201,C367584
100k,"R51,R55",201,C100127
39.2k,R52,201,C158556
200k,R54,201,C102705
0.1,R70,2512,C25466
INA226,U5,VSSOP-10-0.5mm,C2653835
TMP1075DSG,"U7,U8,U9,U10,U11,U12",WSON-8-EP(2x2),C2870250
LTC3119IUFD_PBF,U50,QFN-28-EP(4x5),C580693
