Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R32,16.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.612001,-119.874799,0,top
R33,16.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.538,-125.15,0,top
R50,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.99125,-120.2,180,top
R51,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.99125,-118.2,180,top
R56,100kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.99125,-116.2,0,top
R57,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.36,-119.95,180,top
R58,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.36,-117.95,180,top
R63,100kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.36,-115.95,0,top
SW1,KMR221GLFS,KMR221GLFS,115.186,-144.892,0,top
SW2,KMR221GLFS,KMR221GLFS,178.46,-144.892,0,top
U1,TCAN330,SOIC-8_3.9x4.9mm_P1.27mm,185.28375,-70.745,90,top
U2,TCAN330,SOIC-8_3.9x4.9mm_P1.27mm,185.320029,-80.4,90,top
U3,STM32U5A5RJTx,LQFP-64_10x10mm_P0.5mm,135.685,-131.4,0,top
U4,STM32U5A5RJTx,LQFP-64_10x10mm_P0.5mm,174.685,-131.4,0,top
U5,CY15B104QN-50SXI,CY15B104QN-50SXI,162.2135,-93.0531,0,top
U6,CY15B104QN-50SXI,CY15B104QN-50SXI,162.21,-99.1425,0,top
U7,CY15B104QN-50SXI,CY15B104QN-50SXI,162.21,-105.2975,0,top
U14,TPS3430WQDRCRQ1,TPS3430WQDRCRQ1,113.422,-123.506999,-90,top
U15,TPS3430WQDRCRQ1,TPS3430WQDRCRQ1,155.332,-128.706,-90,top
