Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R63,100kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,170.95,-112.95,90,top
SW1,KMR221GLFS,KMR221GLFS,116.75,-146.638,0,top
SW2,KMR221GLFS,KMR221GLFS,180.25,-146.638,0,top
U1,TCAN330,SOIC-8_3.9x4.9mm_P1.27mm,117.0375,-75.35,90,top
U2,TCAN330,SOIC-8_3.9x4.9mm_P1.27mm,186.7,-75.35,90,top
U3,STM32U5A5RJTx,LQFP-64_10x10mm_P0.5mm,118.8,-132.4,0,top
U4,STM32U5A5RJTx,LQFP-64_10x10mm_P0.5mm,172.275,-131.1,0,top
U5,CY15B104QN-50SXI,CY15B104QN-50SXI,127.3606,-88.6465,90,top
U6,CY15B104QN-50SXI,CY15B104QN-50SXI,140.05,-88.8,90,top
U7,CY15B104QN-50SXI,CY15B104QN-50SXI,152.85,-89.15,90,top
U14,TPS3430WQDRCRQ1,TPS3430WQDRCRQ1,133.6,-132.25,90,top
U15,TPS3430WQDRCRQ1,TPS3430WQDRCRQ1,186.45,-131.4978,90,top
U16,Orion B16,Orion B16,149.35,-131.25,-90,top
